:Entry Velocity m/s: 400.00,,,,,,
:Exit Velocity: m/s: 400.00,,,,,,
:Traps: 670,,,,,,
:Beam Def:,,,,,,
:Trap #,Cap Value,Added Inductance,Pulse Width,Discharge Instant,Num Pumps,Enabled?
:0,13,0,25.33,1000,1,.
:1,13,0,25.33,1012.35,1,.
:2,13,0,25.33,1024.85,1,.
:3,13,0,25.33,1037.35,1,.
:4,13,0,25.33,1049.85,1,.
:5,13,0,25.33,1062.35,1,.
:6,13,0,25.33,1074.85,1,.
:7,13,0,25.33,1087.35,1,.
:8,13,0,25.33,1099.85,1,.
:9,13,0,25.33,1112.35,1,.
:10,13,0,25.33,1124.85,1,.
:11,13,0,25.33,1137.35,1,.
:12,13,0,25.33,1149.85,1,.
:13,13,0,25.33,1162.35,1,.
:14,13,0,25.33,1174.85,1,.
:15,13,0,25.33,1187.35,1,.
:16,13,0,25.33,1199.85,1,.
:17,13,0,25.33,1212.35,1,.
:18,13,0,25.33,1224.85,1,.
:19,13,0,25.33,1237.35,1,.
:20,13,0,25.33,1249.85,1,.
:21,13,0,25.33,1262.35,1,.
:22,13,0,25.33,1274.85,1,.
:23,13,0,25.33,1287.35,1,.
:24,13,0,25.33,1299.85,1,.
:25,13,0,25.33,1312.35,1,.
:26,13,0,25.33,1324.85,1,.
:27,13,0,25.33,1337.35,1,.
:28,13,0,25.33,1349.85,1,.
:29,13,0,25.33,1362.35,1,.
:30,13,0,25.33,1374.85,1,.
:31,13,0,25.33,1387.35,1,.
:32,13,0,25.33,1399.85,1,.
:33,13,0,25.33,1412.35,1,.
:34,13,0,25.33,1424.85,1,.
:35,13,0,25.33,1437.35,1,.
:36,13,0,25.33,1449.85,1,.
:37,13,0,25.33,1462.35,1,.
:38,13,0,25.33,1474.85,1,.
:39,13,0,25.33,1487.35,1,.
:40,13,0,25.33,1499.85,1,.
:41,13,0,25.33,1512.35,1,.
:42,13,0,25.33,1524.85,1,.
:43,13,0,25.33,1537.35,1,.
:44,13,0,25.33,1549.85,1,.
:45,13,0,25.33,1562.35,1,.
:46,13,0,25.33,1574.85,1,.
:47,13,0,25.33,1587.35,1,.
:48,13,0,25.33,1599.85,1,.
:49,13,0,25.33,1612.35,1,.
:50,13,0,25.33,1624.85,1,.
:51,13,0,25.33,1637.35,1,.
:52,13,0,25.33,1649.85,1,.
:53,13,0,25.33,1662.35,1,.
:54,13,0,25.33,1674.85,1,.
:55,13,0,25.33,1687.35,1,.
:56,13,0,25.33,1699.85,1,.
:57,13,0,25.33,1712.35,1,.
:58,13,0,25.33,1724.85,1,.
:59,13,0,25.33,1737.35,1,.
:60,13,0,25.33,1749.85,1,.
:61,13,0,25.33,1762.35,1,.
:62,13,0,25.33,1774.85,1,.
:63,13,0,25.33,1787.35,1,.
:64,13,0,25.33,1799.85,1,.
:65,13,0,25.33,1812.35,1,.
