Model,MSO54
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.600000e-07
Record Length,81250
Zero Index,5745.281986
Vertical Units,A

TIME,CH3
-9.192451e-04,-8.984375e-01
-9.190851e-04,-1.210938e+00
-9.189251e-04,5.312500e-01
-9.187651e-04,-1.437500e+00
-9.186051e-04,1.562500e-02
-9.184451e-04,-9.843750e-01
-9.182851e-04,-5.937500e-01
-9.181251e-04,-1.250000e-01
-9.179651e-04,4.609375e-01
-9.178051e-04,1.562500e-01
-9.176451e-04,-1.484375e-01
-9.174851e-04,2.187500e-01
-9.173251e-04,1.875000e-01
-9.171651e-04,-7.812500e-02
-9.170051e-04,-2.000000e+00
-9.168451e-04,1.117188e+00
-9.166851e-04,-1.523438e+00
-9.165251e-04,-6.796875e-01
-9.163651e-04,-1.523438e+00
-9.162051e-04,1.562500e-01
-9.160451e-04,-1.867188e+00
-9.158851e-04,7.812500e-03
-9.157251e-04,-1.476562e+00
-9.155651e-04,-1.093750e-01
-9.154051e-04,6.796875e-01
-9.152451e-04,8.828125e-01
-9.150851e-04,6.562500e-01
-9.149251e-04,-1.429688e+00
-9.147651e-04,-2.203125e+00
-9.146051e-04,3.750000e-01
-9.144451e-04,-1.039062e+00
-9.142851e-04,4.531250e-01
-9.141251e-04,1.296875e+00
-9.139651e-04,-6.484375e-01
-9.138051e-04,2.578125e-01
-9.136451e-04,-1.953125e-01
-9.134851e-04,-1.359375e+00
-9.133251e-04,1.203125e+00
-9.131651e-04,-8.593750e-01
-9.130051e-04,-1.648438e+00
-9.128451e-04,-2.421875e-01
-9.126851e-04,-1.156250e+00
-9.125251e-04,-2.421875e+00
-9.123651e-04,-9.765625e-01
-9.122051e-04,2.578125e-01
-9.120451e-04,1.757812e+00
-9.118851e-04,5.000000e-01
-9.117251e-04,-7.500000e-01
-9.115651e-04,-2.343750e-01
-9.114051e-04,-1.625000e+00
-9.112451e-04,-1.015625e-01
-9.110851e-04,-1.171875e-01
-9.109251e-04,1.132812e+00
-9.107651e-04,1.953125e-01
-9.106051e-04,-6.875000e-01
-9.104451e-04,-7.812500e-02
-9.102851e-04,-1.554688e+00
-9.101251e-04,1.265625e+00
-9.099651e-04,6.562500e-01
-9.098051e-04,-1.343750e+00
-9.096451e-04,-1.265625e+00
-9.094851e-04,-4.140625e-01
-9.093251e-04,-3.984375e-01
-9.091651e-04,1.015625e-01
-9.090051e-04,-9.375000e-01
-9.088451e-04,4.062500e-01
-9.086851e-04,-1.492188e+00
-9.085251e-04,-6.250000e-02
-9.083651e-04,2.578125e-01
-9.082051e-04,-2.500000e-01
-9.080451e-04,-1.250000e-01
-9.078851e-04,-1.578125e+00
-9.077251e-04,-1.523438e+00
-9.075651e-04,2.343750e-01
-9.074051e-04,5.312500e-01
-9.072451e-04,1.875000e-01
-9.070851e-04,1.718750e-01
-9.069251e-04,2.343750e-02
-9.067651e-04,-1.406250e-01
-9.066051e-04,2.484375e+00
-9.064451e-04,1.414062e+00
-9.062851e-04,-1.718750e-01
-9.061251e-04,1.796875e+00
-9.059651e-04,-3.671875e-01
-9.058051e-04,-3.125000e-01
-9.056451e-04,8.281250e-01
-9.054851e-04,-4.375000e-01
-9.053251e-04,1.562500e-01
-9.051651e-04,-1.015625e-01
-9.050051e-04,-1.367188e+00
-9.048451e-04,7.031250e-02
-9.046851e-04,-9.765625e-01
-9.045251e-04,2.656250e-01
-9.043651e-04,-1.039062e+00
-9.042051e-04,1.281250e+00
-9.040451e-04,-1.984375e+00
-9.038851e-04,2.078125e+00
-9.037251e-04,-7.890625e-01
-9.035651e-04,3.125000e-02
-9.034051e-04,7.031250e-01
-9.032451e-04,1.031250e+00
-9.030851e-04,1.109375e+00
-9.029251e-04,2.812500e-01
-9.027651e-04,-4.843750e-01
-9.026051e-04,1.820312e+00
-9.024451e-04,-5.078125e-01
-9.022851e-04,-2.218750e+00
-9.021251e-04,1.640625e-01
-9.019651e-04,-1.632812e+00
-9.018051e-04,-3.984375e-01
-9.016451e-04,-3.906250e-01
-9.014851e-04,-1.312500e+00
-9.013251e-04,-3.281250e-01
-9.011651e-04,-5.546875e-01
-9.010051e-04,-4.531250e-01
-9.008451e-04,-5.546875e-01
-9.006851e-04,-4.218750e-01
-9.005251e-04,-4.453125e-01
-9.003651e-04,-1.562500e-01
-9.002051e-04,1.640625e-01
-9.000451e-04,1.046875e+00
-8.998851e-04,-1.406250e+00
-8.997251e-04,-9.687500e-01
-8.995651e-04,-3.046875e-01
-8.994051e-04,-1.218750e+00
-8.992451e-04,-1.500000e+00
-8.990851e-04,1.562500e-02
-8.989251e-04,-5.390625e-01
-8.987651e-04,-1.273438e+00
-8.986051e-04,1.875000e-01
-8.984451e-04,5.625000e-01
-8.982851e-04,-4.296875e-01
-8.981251e-04,9.687500e-01
-8.979651e-04,1.250000e-01
-8.978051e-04,-1.203125e+00
-8.976451e-04,-4.609375e-01
-8.974851e-04,6.328125e-01
-8.973251e-04,4.375000e-01
-8.971651e-04,1.640625e-01
-8.970051e-04,1.687500e+00
-8.968451e-04,3.593750e-01
-8.966851e-04,-2.078125e+00
-8.965251e-04,4.765625e-01
-8.963651e-04,-7.031250e-02
-8.962051e-04,-3.671875e-01
-8.960451e-04,-1.406250e+00
