:Entry Velocity m/s:,500,:Exit Velocity: m/s:,150,:Traps:,670,:Beam Def:
:Trap #,Cap Value,Added Inductance,Pulse Width,Discharge Instant,Num Pumps,Enabled?
:0,8,0,19.87,1000,2,.
:1,8,0,19.87,1010.05,2,.
:2,8,0,19.87,1020.1,2,.
:3,8,0,19.87,1030.1,2,.
:4,8,0,19.87,1040.15,2,.
:5,8,0,19.87,1050.15,2,.
:6,8,0,19.87,1060.2,4,X
:7,8,0,19.87,1070.25,2,.
:8,8,0,19.87,1080.3,4,X
:9,8,0,19.87,1090.35,2,.
:10,8,0,19.87,1100.45,2,.
:11,8,0,19.87,1110.5,2,.
:12,8,0,19.87,1120.6,2,.
:13,8,0,19.87,1130.7,2,.
:14,8,0,19.87,1140.8,2,.
:15,8,0,19.87,1150.9,2,.
:16,8,0,19.87,1161,2,.
:17,8,0,19.87,1171.1,2,.
:18,8,0,19.87,1181.25,2,.
:19,8,0,19.87,1191.35,2,.
:20,8,0,19.87,1201.5,2,.
:21,8,0,19.87,1211.65,2,.
:22,8,0,19.87,1221.8,2,X
:23,8,0,19.87,1231.95,2,.
:24,8,0,19.87,1242.15,2,X
:25,8,0,19.87,1252.3,2,.
:26,8,0,19.87,1262.5,2,.
:27,8,0,19.87,1272.7,2,.
:28,8,0,19.87,1282.9,2,.
:29,8,0,19.87,1293.1,2,.
:30,8,0,19.87,1303.3,2,.
:31,8,0,19.87,1313.5,2,.
:32,8,0,19.87,1323.75,2,.
:33,8,0,19.87,1333.95,2,.
:34,8,0,19.87,1344.2,2,.
:35,8,0,19.87,1354.45,2,.
:36,9,0,21.07,1364.1,2,.
:37,9,0,21.07,1374.35,2,.
:38,9,0,21.07,1384.65,2,X
:39,9,0,21.07,1394.9,2,.
:40,9,0,21.07,1405.2,2,X
:41,9,0,21.07,1415.5,2,.
:42,9,0,21.07,1425.8,2,.
:43,9,0,21.07,1436.1,2,.
:44,9,0,21.07,1446.4,2,.
:45,9,0,21.07,1456.75,2,.
:46,9,0,21.07,1467.05,2,.
:47,9,0,21.07,1477.4,2,.
:48,9,0,21.07,1487.75,2,.
:49,9,0,21.07,1498.1,2,.
:50,9,0,21.07,1508.45,2,.
:51,9,0,21.07,1518.8,2,.
:52,9,0,21.07,1529.2,2,.
:53,9,0,21.07,1539.55,2,.
:54,9,0,21.07,1549.95,2,X
:55,9,0,21.07,1560.35,2,.
:56,9,0,21.07,1570.75,2,X
:57,9,0,21.07,1581.2,2,.
:58,9,0,21.07,1591.6,2,.
:59,9,0,21.07,1602.05,2,.
:60,9,0,21.07,1612.45,2,.
:61,9,0,21.07,1622.9,2,.
:62,9,0,21.07,1633.35,2,.
:63,9,0,21.07,1643.8,2,.
:64,9,0,21.07,1654.3,2,.
:65,9,0,21.07,1664.75,2,.
:66,9,0,21.07,1675.25,2,.
:67,9,0,21.07,1685.75,2,.
:68,9,0,21.07,1696.25,2,.
:69,9,0,21.07,1706.75,2,.
:70,9,0,21.07,1717.25,2,X
:71,9,0,21.07,1727.75,2,.
:72,9,0,21.07,1738.3,2,X
:73,9,0,21.07,1748.85,2,.
:74,9,0,21.07,1759.4,2,.
:75,9,0,21.07,1769.95,2,.
:76,9,0,21.07,1780.5,2,.
:77,9,0,21.07,1791.05,2,.
:78,9,0,21.07,1801.65,2,.
:79,9,0,21.07,1812.25,2,.
:80,9,0,21.07,1822.8,2,.
:81,9,0,21.07,1833.45,2,.
